"prato,vinho_id"
"Bife Grelhado,1"
"Costela Assada,5"
"Lasanha Bolonhesa,2"
"Frango ao Limão,12"
"Frango Grelhado,11"
"Salmão Grelhado,15"
"Bacalhau Assado,11"
"Camarão ao Alho,12"
"Moqueca Baiana,16"
"Ostras Frescas,29"
"Sushi,14"
"Sashimi,12"
"Tartar de Atum,16"
"Pizza Margherita,7"
"Pizza de Calabresa,6"
"Hambúrguer Artesanal,1"
"Carne de Panela,4"
"Feijoada,23"
"Risoto de Cogumelos,3"
"Risoto de Queijo,11"
"Curry de Frango,18"
"Curry Vegetariano,17"
"Churrasco,22"
"Tacos Apimentados,6"
"Pato ao Molho de Laranja,9"
"Cordeiro Assado,24"
"Queijos Fortes,20"
"Queijos Azuis,21"
"Fondue de Queijo,15"
"Fondue de Chocolate,30"
"Torta de Maçã,19"
"Salada Mediterrânea,26"
"Salada Verde com Vinagrete,12"
"Falafel,17"
"Kibe Assado,8"
"Esfiha de Carne,7"
"Carpaccio,14"
"Goulash,25"
"Ratatouille,27"
"Tabule,26"
"Paella,16"
"Polvo Grelhado,11"
"Atum Selado,12"
"Penne ao Pesto,27"
"Penne à Carbonara,3"
"Spaghetti ao Alho e Óleo,14"
"Nhoque ao Sugo,8"
"Sopa de Cebola,10"
"Sopa de Abóbora,27"
