"id,nome_vinho,tipo,doçura,acidez,corpo,taninos,intensidade_aromas"
"1,Cabernet Sauvignon Reserva,1,0,3,5,5,4"
"2,Merlot Suave,1,1,2,3,2,3"
"3,Pinot Noir,1,0,3,3,2,4"
"4,Malbec Argentino,1,0,3,4,4,4"
"5,Shiraz Australiano,1,0,4,5,4,5"
"6,Tannat Uruguaio,1,0,4,5,5,4"
"7,Chianti Italiano,1,0,3,4,3,3"
"8,Tempranillo Espanhol,1,0,3,4,3,3"
"9,Blend Tinto Seco,1,0,3,4,4,4"
"10,Vinho Tinto Fino Jovem,1,0,2,3,2,3"

"11,Chardonnay Barricado,2,0,3,4,0,4"
"12,Sauvignon Blanc,2,0,5,2,0,5"
"13,Riesling Seco,2,0,4,2,0,5"
"14,Pinot Grigio,2,0,4,2,0,3"
"15,Chenin Blanc,2,0,3,2,0,3"

"16,Vinho Branco Suave,2,1,2,1,0,2"
"17,Moscato Doce,2,1,3,1,0,4"
"18,Gewürztraminer,2,0,3,2,0,5"
"19,Viognier,2,0,3,3,0,4"
"20,Blend Branco Seco,2,0,3,2,0,3"

"21,Espumante Brut,2,0,5,1,0,4"
"22,Espumante Moscatel,2,1,3,1,0,4"
"23,Prosecco Italiano,2,0,4,2,0,3"
"24,Cava Espanhola,2,0,4,2,0,4"

"25,Porto Ruby,1,1,3,5,4,5"
"26,Porto Tawny,1,1,3,4,3,5"
"27,Lambrusco Doce,1,1,2,2,1,3"

"28,Vinho Verde,2,0,5,1,0,3"
"29,Albariño,2,0,4,2,0,4"
"30,Sauternes (Sobremesa),2,1,4,4,0,5"
